id,item_id,area_id,price,quantity
25,78,5,43.3,1
94,81,14,71.6,2
62,53,2,42.2,2
24,88,4,46.5,7
20,64,0,98.6,3
33,63,13,30.4,7
67,78,7,70.6,2
22,53,2,53.6,1
75,77,15,61.8,5
72,36,12,21.2,7
61,2,1,33.6,3
14,92,14,20.5,7
85,89,5,84.0,5
12,42,12,82.5,3
27,100,7,28.1,2
27,29,7,47.5,3
50,24,10,31.3,7
28,37,8,45.8,5
90,60,10,74.2,5
64,61,4,52.9,10
22,57,2,33.1,3
16,22,16,96.8,9
5,28,5,57.9,1
23,41,3,2.3,3
80,85,0,26.5,2
44,59,4,94.2,1
36,47,16,45.4,8
32,18,12,92.6,5
59,17,19,93.4,1
80,20,0,18.9,7
34,41,14,21.8,4
33,57,13,65.1,6
16,26,16,56.5,8
77,60,17,5.8,5
93,74,13,52.4,8
46,18,6,16.0,9
29,71,9,87.9,1
58,62,18,48.3,5
57,9,17,67.6,6
76,3,16,57.8,1
87,12,7,5.0,4
31,86,11,36.4,9
75,71,15,2.9,1
73,95,13,88.8,4
98,9,18,11.1,8
46,87,6,46.4,4
64,80,4,46.2,9
73,96,13,54.2,7
43,46,3,58.7,9
54,92,14,64.4,2
82,1,2,32.3,3
75,49,15,31.0,9
33,77,13,23.5,3
21,40,1,71.7,3
32,28,12,43.5,3
21,82,1,96.6,5
50,32,10,40.1,2
4,2,4,85.4,7
57,57,17,93.2,4
14,19,14,13.9,8
96,24,16,48.0,2
98,74,18,40.0,2
50,79,10,44.9,10
41,17,1,1.7,9
35,89,15,69.3,4
54,7,14,51.6,9
78,69,18,32.0,9
14,79,14,57.8,2
81,71,1,22.0,3
95,14,15,45.5,9
87,12,7,12.5,8
14,31,14,27.9,7
75,63,15,76.1,2
1,52,1,72.7,6
25,91,5,54.7,6
97,90,17,44.3,5
1,29,1,57.1,9
96,81,16,66.1,6
72,39,12,89.0,6
93,26,13,41.3,5
50,89,10,18.7,5
92,15,12,84.2,10
20,52,0,31.7,1
89,60,9,25.2,4
87,78,7,61.3,7
72,57,12,50.6,4
79,31,19,95.5,9
55,52,15,24.6,6
70,36,10,87.3,7
70,39,10,42.0,7
17,87,17,90.9,2
43,16,3,67.7,1
32,50,12,30.2,3
7,4,7,35.0,5
6,25,6,33.8,5
98,96,18,31.9,2
28,91,8,14.9,1
84,84,4,19.5,3
98,88,18,55.8,6
52,74,12,71.0,6
49,79,9,4.0,1
73,62,13,62.1,1
62,95,2,58.3,3
57,80,17,20.0,6
42,77,2,10.3,6
42,42,2,66.2,3
9,59,9,87.5,5
100,63,0,87.8,4
63,59,3,71.4,6
18,64,18,64.0,2
41,11,1,81.4,10
19,69,19,11.8,2
75,50,15,77.5,8
27,39,7,86.2,3
43,58,3,53.2,2
43,10,3,20.8,1
17,99,17,28.9,2
34,19,14,26.7,7
13,25,13,87.2,5
100,22,0,20.4,6
64,92,4,38.3,10
49,21,9,80.7,6
32,86,12,69.4,3
63,41,3,50.1,6
58,16,18,24.8,8
90,29,10,40.3,2
26,11,6,97.8,1
14,76,14,39.3,6
39,66,19,32.1,8
16,38,16,12.8,1
2,65,2,45.5,4
70,44,10,94.9,8
53,18,13,91.4,3
78,65,18,58.0,10
58,94,18,33.8,2
61,98,1,49.6,2
61,21,1,45.1,6
45,90,5,26.4,5
3,46,3,7.8,1
85,76,5,36.7,8
93,36,13,74.8,3
87,72,7,73.2,7
34,42,14,51.8,6
45,80,5,64.7,10
98,99,18,47.7,6
92,25,12,76.6,2
26,53,6,78.9,3
22,47,2,28.4,7
3,70,3,82.3,7
72,50,12,11.5,2
77,71,17,26.3,9
38,28,18,70.0,8
46,24,6,68.4,6
31,97,11,54.7,2
8,50,8,43.6,8
23,24,3,55.0,10
52,98,12,7.8,2
24,91,4,4.3,2
12,52,12,2.8,3
12,25,12,4.7,1
37,63,17,6.5,3
19,93,19,63.2,7
44,92,4,6.5,1
82,11,2,88.7,2
28,29,8,25.8,7
19,95,19,92.3,8
90,55,10,47.5,10
9,48,9,17.7,2
74,15,14,52.2,3
43,51,3,5.5,5
8,37,8,61.4,3
58,15,18,96.9,4
71,43,11,43.8,2
20,5,0,24.0,10
7,75,7,23.8,3
17,42,17,43.2,1
7,35,7,66.2,6
31,27,11,61.7,6
62,24,2,69.7,7
51,47,11,15.9,7
13,34,13,20.6,8
100,56,0,22.9,5
64,68,4,55.4,10
58,26,18,10.1,5
42,9,2,25.8,7
8,100,8,27.5,5
94,43,14,58.6,8
79,26,19,22.6,9
17,4,17,60.1,1
32,15,12,13.5,2
83,1,3,97.5,7
31,37,11,74.2,9
54,20,14,20.6,2
65,26,5,56.1,7
49,41,9,78.1,4
10,84,10,77.1,9
5,50,5,47.2,10
96,26,16,37.2,4
11,34,11,57.4,8
38,74,18,49.3,6
81,59,1,26.2,8
48,48,8,9.1,3
39,80,19,22.8,4
83,67,3,23.5,10
99,63,19,97.1,5
36,68,16,92.3,5
72,8,12,16.6,2
20,63,0,94.2,8
78,48,18,74.1,1
73,96,13,80.7,5
72,92,12,51.6,2
9,31,9,82.1,8
55,17,15,72.3,7
85,82,5,43.5,9
59,96,19,58.3,1
77,64,17,44.0,5
45,54,5,12.2,2
8,92,8,32.2,2
86,63,6,93.3,1
51,61,11,5.2,3
14,72,14,10.9,7
32,28,12,89.9,4
60,65,0,47.6,4
51,45,11,76.0,10
45,71,5,81.4,6
90,41,10,18.1,2
94,74,14,57.7,9
26,12,6,2.2,5
12,69,12,27.7,6
63,84,3,56.8,9
5,6,5,31.6,6
38,39,18,50.8,6
20,86,0,37.4,8
92,88,12,92.5,6
33,70,13,91.2,6
6,46,6,22.4,5
86,86,6,26.5,2
82,76,2,52.4,8
45,39,5,18.8,2
92,80,12,30.7,10
54,83,14,30.7,9
54,48,14,18.5,6
3,29,3,15.1,8
89,44,9,40.3,7
11,49,11,52.7,4
95,90,15,77.2,1
11,29,11,74.0,5
1,19,1,99.6,1
50,42,10,4.8,2
35,10,15,95.3,3
48,20,8,50.2,6
67,81,7,70.4,7
44,2,4,12.5,6
52,1,12,87.2,5
49,33,9,66.4,5
66,62,6,42.0,4
63,70,3,19.6,3
93,96,13,3.0,10
100,76,0,14.8,8
83,21,3,75.1,7
38,19,18,76.2,3
93,85,13,88.6,2
83,41,3,27.4,8
88,72,8,27.1,10
86,3,6,27.7,7
55,37,15,9.2,7
29,62,9,68.5,7
99,14,19,4.1,3
65,24,5,85.8,6
19,12,19,22.0,7
90,29,10,45.2,2
39,81,19,97.5,4
8,12,8,78.5,6
83,83,3,56.0,9
90,88,10,17.3,8
21,8,1,87.4,9
52,29,12,26.1,5
28,43,8,41.9,5
14,22,14,45.1,7
38,71,18,69.8,5
24,9,4,78.5,5
40,12,0,9.4,5
77,83,17,60.5,9
11,48,11,39.2,7
88,9,8,21.2,1
84,45,4,42.8,2
96,39,16,86.2,9
22,91,2,84.0,7
80,31,0,10.6,1
93,18,13,31.4,1
55,44,15,60.0,4
100,79,0,43.8,10
88,89,8,83.7,6
49,80,9,22.7,5
75,3,15,76.4,2
43,76,3,23.7,10
58,7,18,46.3,5
67,30,7,20.4,6
23,55,3,69.5,7
50,5,10,11.0,6
95,72,15,16.4,2
48,72,8,52.4,3
88,99,8,66.6,10
17,56,17,49.3,6
14,11,14,18.7,6
6,63,6,73.2,5
70,77,10,16.9,8
34,20,14,30.5,3
91,53,11,47.2,6
84,61,4,90.8,9
56,12,16,89.7,1
78,36,18,11.3,8
43,61,3,69.9,4
5,52,5,80.8,7
29,95,9,99.2,5
29,56,9,34.9,3
30,41,10,55.7,1
80,46,0,34.2,8
32,80,12,35.6,2
89,65,9,91.7,10
26,50,6,27.0,6
31,14,11,35.5,10
45,3,5,73.3,8
96,99,16,67.9,9
54,40,14,22.5,6
59,69,19,83.0,5
59,91,19,92.0,9
13,64,13,77.9,3
41,34,1,28.0,3
8,15,8,70.6,2
66,28,6,9.1,5
88,70,8,51.7,9
19,31,19,61.3,10
51,97,11,49.5,5
6,80,6,35.4,1
79,53,19,88.5,4
70,71,10,76.8,5
43,91,3,37.3,7
53,84,13,63.1,4
54,36,14,24.6,5
78,69,18,22.5,2
32,83,12,77.7,1
30,55,10,43.7,8
54,78,14,50.4,8
30,46,10,45.5,2
70,82,10,81.9,6
56,28,16,91.9,8
39,28,19,8.2,8
42,89,2,16.5,3
22,30,2,19.8,4
89,39,9,52.6,6
61,75,1,14.4,7
44,84,4,79.1,7
87,10,7,83.1,9
79,75,19,47.1,8
43,19,3,94.8,9
78,25,18,82.9,9
12,84,12,51.5,10
13,92,13,60.3,5
83,67,3,62.1,1
23,41,3,61.3,6
54,81,14,62.7,1
30,40,10,62.4,6
97,6,17,76.0,4
75,21,15,17.3,3
84,68,4,27.9,2
69,26,9,77.4,9
28,82,8,75.5,3
5,36,5,13.2,9
51,96,11,23.7,5
92,49,12,56.4,3
100,73,0,74.8,2
71,4,11,57.0,2
64,42,4,42.7,4
14,38,14,85.2,7
83,40,3,53.0,5
52,38,12,9.0,8
7,99,7,97.6,2
57,90,17,13.6,5
87,3,7,88.5,2
41,86,1,56.0,1
43,41,3,89.3,7
65,68,5,19.2,9
2,11,2,31.2,1
66,37,6,30.0,8
85,6,5,28.5,8
34,28,14,5.0,7
9,65,9,13.8,6
32,49,12,60.9,6
53,68,13,2.6,8
23,54,3,48.8,2
62,81,2,13.1,1
91,91,11,93.0,1
85,31,5,20.0,8
9,72,9,12.4,1
65,18,5,4.0,5
59,86,19,19.8,1
76,24,16,36.9,8
36,21,16,39.5,6
43,6,3,32.5,2
18,41,18,28.7,7
32,49,12,89.5,5
20,89,0,77.7,3
37,92,17,30.6,5
3,20,3,35.7,10
92,39,12,28.9,4
55,47,15,48.2,9
62,39,2,11.8,5
2,31,2,26.5,8
54,61,14,30.3,2
73,76,13,20.5,5
62,46,2,16.8,6
24,53,4,87.1,4
14,97,14,26.2,7
87,52,7,34.4,10
14,71,14,43.4,5
93,76,13,56.5,1
76,75,16,57.1,2
42,50,2,94.2,4
33,16,13,50.7,1
24,18,4,73.8,4
82,28,2,54.5,10
64,68,4,31.7,2
81,10,1,51.1,10
54,4,14,55.6,8
23,64,3,85.6,1
100,4,0,54.7,3
86,97,6,37.3,6
10,21,10,16.2,4
79,97,19,45.0,2
70,53,10,90.9,2
20,78,0,38.2,8
43,42,3,20.6,10
98,34,18,78.2,4
15,14,15,23.4,3
54,94,14,64.7,2
17,63,17,54.4,6
9,83,9,26.0,10
15,55,15,62.1,5
83,58,3,25.7,10
26,88,6,34.5,6
42,37,2,19.1,2
27,27,7,63.6,2
77,84,17,86.5,8
49,47,9,4.8,4
70,78,10,62.9,10
34,60,14,38.5,5
27,8,7,39.3,7
39,32,19,49.9,5
48,32,8,39.2,2
65,5,5,98.0,2
27,29,7,92.9,7
76,34,16,41.6,2
44,58,4,41.4,5
90,53,10,63.7,6
8,41,8,49.0,3
54,90,14,98.7,6
26,8,6,43.9,7
88,74,8,50.2,1
64,73,4,28.2,4
97,82,17,81.6,9
41,7,1,28.0,8
35,68,15,17.3,9
95,69,15,17.8,1
82,59,2,94.9,6
54,60,14,91.6,10
1,32,1,18.9,8
36,90,16,86.5,4
84,75,4,80.5,6
22,81,2,30.1,3
83,16,3,34.4,10
38,85,18,62.0,4
27,99,7,61.1,1
21,77,1,7.0,5
52,46,12,6.4,2
81,51,1,2.6,7
49,96,9,88.2,10
59,79,19,24.5,2
25,32,5,34.9,5
78,58,18,25.2,2
63,79,3,52.3,7
76,62,16,8.5,3
91,5,11,57.7,9
77,91,17,76.4,10
24,93,4,37.1,9
69,45,9,74.5,2
42,86,2,26.6,3
71,92,11,83.9,5
84,46,4,31.2,6
25,24,5,71.2,1
57,14,17,22.9,5
52,39,12,49.1,10
66,47,6,96.6,3
59,70,19,41.8,5
31,9,11,60.6,4
26,55,6,32.8,5
68,6,8,99.5,6
72,67,12,34.0,1
23,25,3,18.0,9
90,50,10,12.8,5
3,94,3,28.9,9
52,45,12,38.7,4
81,19,1,73.5,9
25,21,5,41.1,2
15,100,15,25.3,7
66,34,6,13.0,1
58,32,18,76.1,6
91,78,11,38.5,4
54,42,14,75.3,3
34,97,14,81.4,5
29,70,9,8.5,9
15,24,15,92.8,6
55,31,15,15.2,1
59,8,19,46.6,10
25,30,5,98.3,8
4,54,4,14.6,3
81,95,1,46.9,3
9,18,9,73.0,6
86,85,6,98.4,2
46,56,6,81.7,3
94,2,14,26.1,6
13,32,13,90.5,7
50,87,10,16.1,1
24,61,4,25.5,9
32,53,12,33.9,2
89,95,9,4.7,6
90,1,10,75.7,7
56,99,16,64.5,6
15,79,15,92.9,6
93,80,13,82.2,6
24,77,4,72.3,10
91,52,11,43.3,7
17,44,17,81.0,6
83,69,3,8.0,1
24,36,4,50.3,2
15,99,15,27.7,2
39,99,19,78.1,6
43,52,3,3.8,5
61,90,1,19.5,7
47,72,7,54.6,6
83,77,3,91.3,5
18,49,18,67.9,8
9,91,9,18.0,9
86,60,6,84.5,5
26,38,6,74.4,8
23,5,3,85.4,3
54,93,14,44.2,2
58,20,18,70.6,5
5,40,5,6.9,6
45,41,5,52.3,10
3,8,3,46.0,7
41,45,1,34.0,10
48,12,8,2.4,5
55,7,15,11.0,1
73,86,13,15.1,8
21,39,1,60.3,2
95,100,15,9.3,7
39,7,19,42.1,1
25,44,5,83.5,6
46,100,6,17.2,5
33,3,13,71.3,7
62,91,2,24.2,3
96,26,16,5.6,1
46,38,6,20.0,8
85,46,5,83.5,5
2,46,2,55.6,9
52,68,12,97.2,1
10,58,10,1.3,6
60,83,0,1.9,9
78,97,18,27.0,4
79,25,19,50.6,6
86,36,6,81.9,5
62,32,2,41.7,2
81,74,1,90.3,6
54,100,14,89.9,8
27,10,7,36.2,3
27,81,7,33.0,9
49,55,9,58.8,2
58,65,18,98.2,8
71,95,11,44.5,4
90,17,10,48.0,3
88,91,8,39.3,3
57,100,17,52.4,5
55,89,15,62.1,4
2,25,2,47.6,7
62,49,2,88.0,9
57,60,17,64.3,1
84,81,4,87.7,7
34,82,14,15.9,3
29,67,9,91.5,5
89,4,9,43.8,6
42,71,2,35.3,10
27,2,7,11.8,5
33,75,13,92.5,6
11,75,11,8.9,1
80,17,0,76.5,1
57,99,17,21.9,3
48,56,8,27.6,6
9,44,9,35.4,7
82,66,2,73.7,6
51,17,11,20.6,3
66,50,6,17.1,8
44,15,4,11.1,6
34,29,14,33.6,10
87,15,7,8.1,1
41,91,1,4.0,1
24,48,4,31.1,4
75,72,15,34.4,3
84,57,4,18.9,10
95,88,15,18.6,8
85,91,5,79.4,7
23,57,3,15.2,3
49,82,9,68.1,7
81,68,1,59.1,10
50,61,10,35.9,6
86,30,6,39.7,9
22,44,2,54.2,3
42,19,2,16.5,3
54,39,14,84.9,6
12,29,12,75.8,5
79,48,19,20.2,8
1,85,1,16.9,5
2,40,2,66.3,5
55,99,15,18.5,9
31,26,11,52.8,6
36,57,16,44.6,9
25,47,5,49.8,7
25,50,5,26.3,2
10,66,10,93.8,10
20,68,0,53.4,7
50,39,10,76.3,1
14,16,14,83.5,8
80,25,0,86.1,9
17,78,17,27.8,5
20,39,0,98.4,10
40,96,0,97.1,7
30,88,10,52.8,10
98,58,18,92.7,3
63,44,3,17.1,4
12,30,12,40.2,1
89,50,9,43.9,2
95,63,15,36.3,1
31,74,11,77.7,7
53,24,13,71.3,9
65,56,5,53.4,6
56,71,16,47.8,6
65,53,5,37.3,10
41,76,1,41.0,5
2,42,2,80.3,5
18,13,18,30.6,10
93,40,13,38.4,5
21,16,1,18.5,8
55,30,15,22.9,9
50,17,10,7.5,1
45,9,5,73.6,7
27,81,7,21.4,10
84,2,4,39.7,1
72,14,12,28.3,8
32,47,12,55.7,9
60,59,0,70.1,1
25,35,5,60.3,10
27,34,7,48.2,9
86,94,6,60.3,6
30,54,10,98.9,6
22,77,2,84.7,8
18,86,18,39.0,9
27,19,7,91.3,3
50,70,10,10.5,1
96,71,16,36.3,3
84,47,4,86.7,4
32,25,12,99.0,1
12,45,12,7.7,9
82,17,2,8.4,7
12,32,12,58.9,4
43,2,3,53.1,3
19,70,19,30.0,7
75,90,15,5.4,6
72,15,12,76.9,10
21,31,1,56.4,7
59,77,19,30.2,3
63,89,3,53.1,1
46,91,6,37.8,1
73,14,13,44.2,10
42,65,2,94.1,10
85,45,5,83.8,4
6,86,6,94.1,4
31,32,11,46.4,6
6,39,6,58.8,8
17,80,17,53.1,5
15,20,15,71.1,6
14,84,14,59.3,10
8,63,8,18.5,4
66,67,6,38.5,1
83,98,3,40.3,4
28,50,8,39.7,5
73,45,13,16.5,4
47,79,7,56.2,5
42,15,2,1.3,3
92,84,12,80.3,9
71,16,11,12.6,5
89,98,9,88.6,7
33,91,13,26.7,1
3,87,3,16.9,10
26,12,6,18.6,4
8,84,8,89.1,5
79,58,19,51.4,7
82,29,2,4.7,5
25,41,5,61.7,5
49,11,9,1.2,7
54,36,14,95.8,8
34,79,14,21.2,3
94,85,14,13.3,7
100,53,0,12.3,6
95,60,15,52.6,4
60,18,0,56.7,3
1,80,1,81.2,9
76,98,16,67.3,5
75,44,15,27.8,1
99,32,19,66.6,8
11,98,11,9.6,10
95,6,15,87.7,1
37,9,17,90.3,8
95,33,15,37.2,3
9,44,9,2.7,5
8,1,8,29.2,7
9,84,9,19.1,8
15,8,15,49.0,7
90,5,10,24.7,6
13,26,13,5.0,3
86,73,6,96.0,7
84,74,4,63.1,3
21,82,1,9.3,10
31,68,11,31.3,9
24,63,4,48.3,1
54,65,14,18.2,9
18,3,18,47.3,3
97,71,17,68.7,8
77,88,17,50.4,1
26,15,6,18.4,1
68,97,8,21.3,5
3,86,3,87.1,9
49,4,9,15.4,8
68,36,8,39.5,5
20,86,0,97.3,5
49,91,9,86.3,5
96,23,16,61.7,3
15,93,15,23.7,7
97,67,17,2.3,4
72,21,12,48.4,4
69,46,9,5.2,3
35,73,15,13.7,5
43,50,3,54.9,6
31,18,11,91.2,8
21,98,1,72.6,5
61,58,1,3.6,5
92,22,12,81.1,3
80,91,0,24.8,2
72,59,12,67.5,7
26,22,6,82.6,2
46,77,6,27.0,10
44,63,4,71.1,1
31,78,11,79.6,6
68,63,8,42.3,2
81,32,1,98.0,8
98,68,18,58.2,10
8,93,8,8.9,7
72,29,12,47.5,2
19,75,19,38.8,10
16,25,16,52.7,5
47,61,7,89.6,1
10,40,10,68.0,1
76,89,16,1.6,7
91,26,11,14.3,1
40,25,0,2.0,5
31,13,11,59.6,3
89,66,9,59.2,9
8,31,8,54.7,1
45,19,5,32.2,5
4,8,4,3.4,9
58,15,18,89.1,8
27,11,7,59.1,10
38,63,18,96.9,4
52,71,12,41.5,1
69,8,9,15.3,1
